malryni	description			 Málrýnir er hugbúnaður sem finnur villur í texta og leiðréttir þær. Villur í texta geta verið af ýmsum toga: innsláttarvillur, stafsetningarvillur, málfræðivillur eða villur í orðanotkun. Góður málŕynir getur einnig aðstoðað að öðru leyti við skrif texta, til dæmis með því að fara yfir stíl og málsnið. Ýmis líkön hafa verið þróuð fyrir málrýni og eru þau helstu listuð hér að neðan. Til að þjálfa líkan fyrir málrýni eru villumálheildir nýttar sem og ýmsir listar yfir algengar villur, leyfileg orð og óæskileg orð.	<p>Málrýnir er hugbúnaður sem finnur villur í texta og leiðréttir þær. Villur í texta geta verið af ýmsum toga: innsláttarvillur, stafsetningarvillur, málfræðivillur eða villur í orðanotkun. Góður málŕynir getur einnig aðstoðað að öðru leyti við skrif texta, til dæmis með því að fara yfir stíl og málsnið.</p><p>Ýmis líkön hafa verið þróuð fyrir málrýni og eru þau helstu listuð hér að neðan. Til að þjálfa líkan fyrir málrýni eru villumálheildir nýttar sem og ýmsir listar yfir algengar villur, leyfileg orð og óæskileg orð.	<p></p>
malryni	short_description			 Málrýnir er hugbúnaður sem finnur villur í texta og leiðréttir þær. 	<p>Málrýnir er hugbúnaður sem finnur villur í texta og leiðréttir þær.</p>	<p></p>
malryni	categories	description	Error Corpora	Villumálheildir eru textasöfn þar sem villur í texta hafa verið merktar og flokkaðar. Þær má til að mynda nýta til að þjálfa líkön til að leiðrétta texta.	Villumálheildir eru textasöfn þar sem villur í texta hafa verið merktar og flokkaðar. Þær má til að mynda nýta til að þjálfa líkön til að leiðrétta texta.	<p></p>
malryni	categories	description	Lists	Listarnir hér að neðan innihalda bæði villur og orð sem gætu talist óæskileg í texta.	Listarnir hér að neðan innihalda bæði villur og orð sem gætu talist óæskileg í texta.	<p></p>
malryni	categories	description	Models	Líkönin hér að neðan hafa verið þjálfuð með mismunandi aðferðum og í ólíkum tilgangi. Sum leiðrétta (þýða) texta á meðan önnur benda á eða flokka villur.	Líkönin hér að neðan hafa verið þjálfuð með mismunandi aðferðum og í ólíkum tilgangi. Sum leiðrétta (þýða) texta á meðan önnur benda á eða flokka villur.	<p></p>
talgerving	description			 Talgerving er vörpun ritaðs texta í talað mál en tvö meginsvið talgervingarhugbúnaðar eru upplestur og (radd)samskipti. Skipta má smíði talgervla upp í tvö skref: málvinnslu og talmyndun. Fyrst þarf að forvinna textann ( tilreiða og staðla) þannig að hægt sé að mynda talmerkið. Framburðarorðabók er því næst notuð við hljóðritun. Áherslu- og ítónunargreining er síðan notuð til að fá fram réttar áherslur og hljómfall í raddmerkinu. Frálag málvinnslunnar er runa af hljóðeiningum sem merktar eru með áherslum og ítónun. Við talmyndun eru nú yfirleitt notuð djúp tauganet sem þarfnast mikils magns upplesins texta til læra af. 	<p>Talgerving er vörpun ritaðs texta í talað mál en tvö meginsvið talgervingarhugbúnaðar eru upplestur og (radd)samskipti. Skipta má smíði talgervla upp í tvö skref: málvinnslu og talmyndun. Fyrst þarf að forvinna textann (<span class='clickable-text' data-key='tokenize'>tilreiða</span> og staðla) þannig að hægt sé að mynda talmerkið. Framburðarorðabók er því næst notuð við hljóðritun. Áherslu- og ítónunargreining er síðan notuð til að fá fram réttar áherslur og hljómfall í raddmerkinu. Frálag málvinnslunnar er runa af hljóðeiningum sem merktar eru með áherslum og ítónun. Við talmyndun eru nú yfirleitt notuð djúp tauganet sem þarfnast mikils magns upplesins texta til læra af.</p>	<p></p>
talgerving	short_description			 Talgerving felur í sér að rituðum texta er breytt í talað mál. 	<p>Talgerving felur í sér að rituðum texta er breytt í talað mál.</p>	<p></p>
talgerving	categories	description	Recordings	Verkefnið Talrómur sem unnið var við Háskólann í Reykjavík hafði það að markmiði að búa til gögn fyrir bæði stikuð talgerviskerfi og einingavalskerfi . Aðrar málheildir hér að neðan eru eldri og smærri í sniðum.	Verkefnið <i>Talrómur</i> sem unnið var við Háskólann í Reykjavík hafði það að markmiði að búa til gögn fyrir bæði <span class='clickable-text' data-key='stikud_kerfi'>stikuð talgerviskerfi</span> og <span class='clickable-text' data-key='einingavalskerfi'>einingavalskerfi</span>. Aðrar málheildir hér að neðan eru eldri og smærri í sniðum.	<p></p>
talgerving	categories	description	Models	Nokkur líkön hafa verið þjálfuð á gögnum Talróms.	Nokkur líkön hafa verið þjálfuð á gögnum Talróms.	<p></p>
talgerving	categories	description	Speech Synthesis for Web and Mobile	Nokkrar lausnir hafa verið þróaðar sem bjóða upp á talgervingu á vefsíðum og símum.	Nokkrar lausnir hafa verið þróaðar sem bjóða upp á talgervingu á vefsíðum og símum.	<p></p>
